DESCRIPTION,CATEGORY
Услуги по транспортному обслуживанию служебным автотранспортом,Прочие услуги
1310019821 Подвеска (Ag 925),Ювелирные изделия и аксессуары
ЛАПША ДЛЯ СУПА ЛИЯ ЯИЧНАЯ 200ГР,Продукты питания и напитки
"YEALAND ESTATE Land Made Riesling белое сухое 0,75",Прочие товары
Предоставление Доступа к СПАРК (с санкционным модулем),Прочие товары
БЛИСС СОЛЬ ДЛЯ ВАНН 450г ХВОЙНЫЙ КОНЦЕНТРАТ,Продукты питания и напитки
"Эмаль ""Eco-lux"" для интерьеров и фасадов ""Радуга-113"" акриловая DX 00NN 72/000 9л",Строительные материалы и отделка
"Гидравлический шланг ROCKMASTER/2SC  DN12,, фитинги Female JBSP  --2 м",Прочие товары
СЫР ПЛАВЛЕНЫЙ VIOLA 200гр СЛИВОЧНЫЙ ВАННА,Продукты питания и напитки
Знак дорожный ПГ- 18,Прочие товары
Приемопередатчик HDA-250767,Автозапчасти и сервис авто
КОНТРОЛОК 40мг N1 пор д/р-ра д/ин,Прочие товары
НАБОР PAPILLA КАСТРЮЛЯ 24СМ+СКОВ 24СМ+КОВШ 16СМ,Прочие товары
"Монтаж/демонтаж постеров, Сениор,  3,14*2,3,  Алматы,  Июнь 2023",Прочие услуги
НЕРАФИНИР. КОКОСОВОЕ МАСЛО 100мл,Продукты питания и напитки
OOLU1076121 (Хранение груженного контейнера на СВХ 20ф),Транспортно-логистические услуги
Гель для душа с охлаждающим эффектом ESTEL ALPHA HOMME (30 мл),Бытовая химия и хозтовары
"Печать постеров, Ситилайт Decaux MUPI,  1,19*1,75,  Алматы,  Декабрь 2022",Рекламные и маркетинговые услуги
1210017317 Серьги (Ag 925),Ювелирные изделия и аксессуары
Проживание Нурмагамбетов Б.,Прочие услуги
БРЕЛОК АЛБАН,Детские товары / гигиена
СЫР ЭМИР ВЕС 102056,Продукты питания и напитки
245-1003032-А КРЫШКА ГОЛОВКИ ЦИЛИНДРОВ,Автозапчасти и сервис авто
 Диск отрезной для распиливания профилей TOOLQUAZ,Продукты питания и напитки
Стоматологические услуги п-та Кривошеев Роман от 27.06.24,Продукты питания и напитки
"Почтовый ящик, модульный, с замком, обналичкой, размеры 1310х510 мм, толщина металла-1-1,2 мм, RAL-1019, Grey Beige мат. на 17 (ячеек)  кв.",Прочие товары
НМ Ошейник 14 бабочка,Зоотовары
12-1352 Серьги (Ag 925),Ювелирные изделия и аксессуары
Защелка замка капота УАЗ 469-8406104,Прочие товары
КАРАМ ТРОСТОЧКИ СЛАДКАЯ СКАЗКА 120ГР МАША И МЕДВ.,Одежда и текстиль
БОКСЕРЫ ÖZTAŞ МУЖСКИЕ АССОРТИ 1149A M,Прочие товары
Гимнастический снаряд,Прочие товары
"TGHU9081063 (Терм.обработка груженного контейнера 40ф,доставленного по ж/д (собственного)-комплексный)",Транспортно-логистические услуги
"Вварной адаптер Weld-in adapter RD52, 316L  52001047",Прочие товары
Сетка ФГОТ,Прочие товары
фасоль ,Продукты питания и напитки
"Bourgogne Pinot Noir Vieilles Vignes 2015 0,75",Прочие товары
"Аренда Контейнер 20 тн GANU 2723023 (00124), инв. № 410, за октябрь 2024г.",Транспортно-логистические услуги
ВИТАМИШКИ МУЛЬТИ ПЛЮС N30 паст. жев.,Прочие товары
Савоярди для тирамису ПФ,Прочие товары
ПАМПЕРС ТРУСИКИ ПАНТС ЭКСТРА ЛАРДЖ №46,Детские товары / гигиена
Ножницы для обрезки ниток №1 дл.3см,Канцтовары и упаковка
Услуги самосвала грузоподъемностью от 20 до 25 тонн Capital Park 3B - 2,Прочие услуги
"Размещение наружной рекламы, Брендированная конструкция,  Алматы,  Август 2022",Рекламные и маркетинговые услуги
КОРЖИ РУССКИЙ БИСКВИТ 400ГР СВЕТЛЫЙ,Продукты питания и напитки
Фитинги,Прочие товары
КУРТ ЕГИЗБАЕВ 75гр ДОМАШНИЙ П/П,Продукты питания и напитки
Стоматологические услуги п-та Батищева Арина от 03.05.2024,Продукты питания и напитки
Кальций активный жидкий во фл.330мл (OOO Fornaks Fharma/УЗБЕКИСТАН),Прочие товары
Втулка головки  шатуна 236-1004052-Б2  ТМК,Автозапчасти и сервис авто
"CAPE HEIGHTS Viognier белое сухое 0,75",Прочие товары
AY9042 Шарф жен.,Прочие товары
Изготовление и монтаж вывески на ресепшен из плоского белого акрила,Продукты питания и напитки
"РОЛИК МЕХАНИЗМА НАТЯЖЕНИЯ РЕМНЯ Г-ЕЛЬ ДВ.CUMMINS ISF 2,8 ЕВРО-3,4,5 (PRAVT)",Прочие товары
"АВТОМОБИЛЬ (БЕНЗИН, 4+1),АВТОМОБИЛЬ (БЕНЗИН, 4+1), МОДЕЛЬ: L.CRUISER 300, ГОД ВЫПУСКА: 2022, ОБЪЕМ: 3445, VIN:JTMABABJ204064334, КУЗОВ: JTMABABJ204064334, ДВИГАТЕЛЬ: V35 0120272, ШАССИ: Н/У, КАБИНА: Н/У, СТОИМОСТЬ: 60789, МОЩНОСТЬ: 305 КВТ,  НАИМЕНОВАНИЕ МАРКИ:TOYOTA КОД МАРКИ:628,,",Автозапчасти и сервис авто
КАМФОРНЫЙ СПИРТ 10% 30мл р-р д/нар прим спирт,Прочие товары
Разработка дизайна этикетки,Прочие товары
МАНИНИЛ 5 5мг N120 таб,Лекарства
Реле РТИ-1321 электротепловое 12-18 А ИЭК,Оборудование и инструмент
Chambolle-Musigni 0.75,Прочие товары
